Company,County,Distress tier (1 is highest),Primary address,Other counties,Award date,Program,Status,Announced new jobs,Actual new jobs,Projected award,Awarded to date,Grant term (days),Elapsed days,Minimum new jobs,Minimum retained jobs,Actual retained jobs,Minimum average wage,Actual average wage,Announced wage,Investment required,Actual investment,count-project,count-grant,lat,lng,conf
Baltek,Guilford&nbsp;County,3,"High Point, NC",,9/16/10,One NC,"Closed, Funds Disbursed",68,47,"$204,000 ","$102,000 ","1,095","1,095",61,0,0,$670 ,"$1,117 ","$37,817 ","$2,250,000 ","$2,947,956 ",1,1,36.079996,-79.981591,
Bayer CropScience,Wake&nbsp;County,3,"3500 Paramount Parkway, Morrisville, NC 27560-7218",,5/6/09,JDIG,Active,128,132,"$2,321,250 ","$235,048 ","1,825","1,335",128,476,496,"$90,916 ","$106,079 ","$101,018 ","$9,180,000 ","$21,926,082 ",1,1,35.857,-78.83018,1
Beardow Adams,Mecklenburg&nbsp;County,3,"3034 Horseshoe Lane, Charlotte, NC",,8/14/12,One NC,Active,31,0,"$37,600 ",$0 ,"1,095",504,22,0,0,$917 ,$0 ,"$52,984 ","$4,590,000 ",$0 ,1,1,35.19817,-80.928475,0.902
Becton Dickinson and Co,Johnston&nbsp;County,3,"Four Oaks Business Park, Four Oaks, NC",,7/16/10,One NC,Active,187,0,"$600,000 ",$0 ,"1,460","1,264",168,0,0,$498 ,$0 ,"$28,771 ","$34,560,000 ",$0 ,1,1,35.315899,-78.297591,0.571
BestSweet,Iredell&nbsp;County,3,"288 Mazeppa Road, Mooresville, NC",,7/1/11,One NC,"Closed, $0 Disbursed",37,0,"$50,000 ",$0 ,"1,095","1,095",33,272,272,$679 ,$0 ,"$39,215 ","$5,747,850 ",$0 ,1,1,35.618713,-80.805003,0.902
Bluestar Silicones USA Corp,Mecklenburg&nbsp;County,3,"12345 Steele Creek Road, Charlotte, NC",,2/24/11,One NC,"Closed, $0 Disbursed",125,0,"$340,000 ",$0 ,"1,095","1,095",113,0,0,"$1,074 ",$0 ,"$62,040 ","$17,820,000 ",$0 ,1,1,35.124807,-80.980704,0.902
Boral Composites,Rowan&nbsp;County,2,"701 South Long Street, East Spencer, NC",,8/2/10,One NC,"Closed, Funds Disbursed",25,16,"$50,000 ","$35,000 ","1,095","1,095",23,0,0,$618 ,"$1,337 ","$35,700 ","$11,520,000 ","$15,244,378 ",1,1,35.67904,-80.44246,0.862
BRP US,Mitchell&nbsp;County,1,"1211 Greenwood Road, Spruce Pine, NC",,4/16/12,One NC,"Closed, $0 Disbursed",70,0,"$210,000 ",$0 ,"1,095","1,095",63,164,164,$652 ,$0 ,"$37,660 ","$1,030,500 ",$0 ,1,1,35.912139,-82.090182,0.78
Brunswick Corp,Craven&nbsp;County,2,"110 N Glenburnie Road, New Bern, NC",,7/20/10,One NC,"Closed, Funds Disbursed",350,221,"$60,850 ","$45,637 ","1,095","1,095",220,277,277,$544 ,$693 ,"$31,425 ","$4,230,000 ","$8,622,806 ",1,1,35.137225,-77.07295,0.902
Brunswick Corp,Craven&nbsp;County,2,"110 N Glenburnie Road, New Bern, NC 28560-2703",,7/20/10,JDIG,Terminated,350,221,"$3,068,500 ","$364,643 ","1,825","1,825",315,279,279,"$28,283 ","$36,040 ","$31,425 ","$4,230,000 ","$4,671,767 ",0,1,35.137225,-77.07295,1
Burlington Technologies,Alamance&nbsp;County,2,"1305 Graham Street, Burlington, NC",,2/16/12,One NC,Active,110,0,"$120,000 ",$0 ,"1,095",684,99,106,106,$391 ,$0 ,"$22,727 ","$652,500 ",$0 ,1,1,36.087463,-79.415475,0.902
Capgemini Financial Services,Mecklenburg&nbsp;County,3,"2001 South College Street, Charlotte, NC 28244-0012",,1/13/11,JDIG,Active,550,166,"$3,936,000 ","$74,444 ","1,095",718,495,5,5,"$56,156 ","$63,781 ","$62,396 ",$0 ,$0 ,1,1,35.216682,-80.854805,0.37
Carolina Precision Plastics,Davie&nbsp;County,2,"111 Kaydon Drive, Mocksville, NC",,1/13/12,One NC,Active,140,70,"$250,000 ","$125,000 ","1,095",718,126,285,285,$678 ,"$1,142 ","$39,183 ","$4,770,000 ","$8,151,112 ",1,1,35.87311,-80.557797,
Carolina Store Fixtures,Martin&nbsp;County,1,"28333 US Hwy 64, Jamesville, NC",,6/6/12,One NC,Active,100,0,"$200,000 ",$0 ,"1,095",573,90,0,0,$477 ,$0 ,"$25,000 ","$171,000 ",$0 ,1,1,35.808577,-76.88427,0.902
Caterpillar,Johnston&nbsp;County,3,"954 Highway 42 East, Clayton, NC",,2/1/12,One NC,Active,199,0,"$400,000 ",$0 ,"1,095",699,141,"1,144","1,144",$654 ,$0 ,"$41,466 ","$29,700,000 ",$0 ,0,1,35.638187,-78.481998,0.585
Caterpillar,Johnston&nbsp;County,3,"954 Highway 42 East, Clayton, NC 27527-8078",,2/1/12,JDIG,Active,199,90,"$1,644,000 ","$57,345 ","1,825",334,169,"1,294","1,251","$37,319 ","$47,888 ","$41,466 ","$29,700,000 ",$0 ,1,1,35.592729,-78.353858,0.627
Caterpillar,Lee&nbsp;County,2,"5000 Womack Drive, Sanford, NC",,8/5/10,One NC,Active,485,269,"$600,000 ","$423,000 ","1,095","1,095",244,825,163,$616 ,$902 ,"$35,602 ","$25,470,000 ","$22,889,026 ",1,1,35.549554,-79.174517,0.748
Caterpillar,Forsyth&nbsp;County,3,"2950 Temple School Road, Winston-Salem, NC 27107-3717",,7/30/10,JDIG,Active,392,181,"$4,677,750 ","$306,750 ","1,825",885,353,0,0,"$36,434 ","$78,258 ","$40,482 ","$362,100,000 ",$0 ,1,1,36.057761,-80.122354,0.806
Caterpillar,Lee&nbsp;County,2,"5008 Womack Road, Sanford, NC 27330",,8/5/10,JDIG,Active,485,269,"$3,462,050 ","$348,500 ","1,460",879,293,825,"1,066","$32,042 ","$46,916 ","$35,602 ","$25,470,000 ","$16,205,159 ",0,1,35.549588,-79.174653,0.878
Caterpillar,Forsyth&nbsp;County,3,"2950 Temple School Rd, Winston-Salem, NC",,7/30/10,One NC,Active,392,82,"$600,000 ","$83,000 ","1,095","1,095",289,0,0,$701 ,"$1,994 ","$40,482 ","$362,100,000 ","$63,402,698 ",0,1,36.057111,-80.111314,
Caye Home Furnishings,Alexander&nbsp;County,2,"Former Broyhill Furniture Facility,Taylorsville, NC",,9/9/09,One NC,"Closed, $0 Disbursed",128,0,"$250,000 ",$0 ,"1,095","1,095",115,52,52,$522 ,$0 ,"$30,142 ","$1,260,000 ",$0 ,1,1,35.916914,-81.209656,0.424
Celgard,Mecklenburg&nbsp;County,3,"13800 South Lakes Drive, Charlotte, NC 28273-6738",Cabarrus (Tier 3),1/20/10,JDIG,Active,289,319,"$4,593,750 ","$712,676 ","1,825","1,076",260,390,390,"$51,264 ","$57,061 ","$56,960 ","$81,900,000 ","$87,749,699 ",0,1,35.107388,-80.959299,1
Celgard,Cabarrus&nbsp;County,3,"Concord, NC",Mecklenburg (Tier 3),1/20/10,One NC,"Closed, Funds Disbursed",289,319,"$955,000 ","$955,000 ","1,095","1,095",203,390,390,$986 ,"$1,097 ","$56,960 ","$81,900,000 ","$101,318,274 ",1,1,35.421536,-80.658192,0.857
Celgard,Cabarrus&nbsp;County,3,"390 Business Blvd, Concord, NC 28025",,7/25/11,JDIG,Active,250,0,"$2,298,750 ",$0 ,730,525,225,774,709,"$34,121 ",$0 ,"$37,912 ","$94,500,000 ",$0 ,0,1,35.421536,-80.658192,0.513
Celgard,Cabarrus&nbsp;County,3,"390 Business Blvd, Concord, NC 28025",,7/25/11,One NC,Active,250,0,"$500,000 ",$0 ,"1,095",890,225,711,711,$656 ,$0 ,"$37,912 ","$94,500,000 ",$0 ,1,1,35.421536,-80.658192,0.756
Central States Manufacturing,Surry&nbsp;County,1,"751 Piedmont Triad West, Mount Airy, NC",,9/21/09,One NC,"Closed, Funds Disbursed",45,42,"$135,000 ","$135,000 ","1,460","1,460",41,0,0,$704 ,$909 ,"$40,656 ","$2,430,000 ","$4,448,000 ",1,1,36.518701,-80.693434,0.47
CertainTeed Corp,Wilkes&nbsp;County,1,"1149 Abtco Road, North Wilkesboro, NC",,10/4/11,One NC,Active,29,0,"$98,000 ",$0 ,"1,095",819,26,76,76,$740 ,$0 ,"$42,741 ","$2,468,700 ",$0 ,1,1,36.200659,-81.028955,0.708
CertainTeed Corp,Person&nbsp;County,2,"Semora, NC",,7/12/10,One NC,Active,89,73,"$300,000 ","$225,000 ","1,460","1,268",80,0,0,$956 ,"$1,189 ","$55,247 ","$144,000,000 ","$149,202,365 ",1,1,36.498474,-79.148904,0.857
CertainTeed Corp,Granville&nbsp;County,2,"200 CertainTeed Drive, Oxford, NC",,7/12/11,One NC,Active,10,0,"$30,000 ",$0 ,"1,095",903,10,266,266,"$1,104 ",$0 ,"$63,800 ","$18,000,000 ",$0 ,1,1,36.293367,-78.612092,
Chiquita Brands,Mecklenburg&nbsp;County,3,"550 S Caldwell Street								, Charlotte, NC 28202-2633",,11/29/11,JDIG,Active,400,281,"$16,130,250 ","$543,368 ","1,095",398,375,4,13,"$96,121 ","$113,115 ","$106,000 ","$12,751,000 ",$0 ,0,1,35.220255,-80.84408,1
Chiquita Brands,Mecklenburg&nbsp;County,3,"550 S Caldwell Street								, Charlotte, NC 28202-2633",,11/29/11,One NC,Active,400,281,"$2,503,114 ","$1,021,275 ","1,095",763,375,4,4,"$1,848 ","$2,175 ","$106,000 ","$12,751,000 ","$12,713,849 ",1,1,35.220255,-80.84408,1
Citco Fund Services,Mecklenburg&nbsp;County,3,"201 South College St, Charlotte, NC 28244-0002",,6/3/10,JDIG,Active,258,Not Reported,"$4,137,750 ",$0 ,"1,460",942,232,0,Not Reported,"$70,430 ",Not Reported,"$78,256 ",$0 , Not Reported ,0,0,35.225469,-80.843097,0.805
Citrix Systems,Wake&nbsp;County,3,"120 S West Street, Raleigh, NC 27603-1834",,6/7/12,JDIG,Active,337,Not Reported,"$8,655,000 ",$0 ,"1,460",207,286,153,Not Reported,"$63,626 ",Not Reported,"$70,623 ","$11,250,000 ", Not Reported ,0,0,35.779569,-78.646044,0.902
Clariant Corp,Mecklenburg&nbsp;County,3,"4000 Monroe Road, Charlotte, NC",,4/5/10,One NC,"Closed, $0 Disbursed",50,0,"$55,000 ",$0 ,"1,095","1,095",45,382,382,"$1,485 ",$0 ,"$85,796 ","$2,250,000 ",$0 ,1,1,35.197474,-80.792484,0.902
Clearwater Paper Corp,Cleveland&nbsp;County,1,"671 Washburn Switch Road, Shelby, NC 28150-7712",,6/10/10,JDIG,Active,250,192,"$3,478,000 ","$361,000 ","1,460",935,225,2,2,"$34,107 ","$55,456 ","$38,000 ","$234,000,000 ","$267,382,432 ",0,1,35.315665,-81.607693,0.878
Clearwater Paper Corp,Cleveland&nbsp;County,1,"671 Washburn Switch Rd, Shelby, NC",,6/10/10,One NC,Active,250,192,"$500,000 ","$392,345 ","1,095","1,095",209,2,2,$656 ,"$1,066 ","$38,000 ","$234,000,000 ","$283,226,087 ",1,1,35.315848,-81.608001,0.902
CMI Enterprises,Rutherford&nbsp;County,1,"630 NC Highway 120, Mooresboro, NC",,7/18/10,One NC,"Closed, $0 Disbursed",53,0,"$33,000 ",$0 ,"1,095","1,095",48,0,0,$390 ,$0 ,"$22,528 ","$333,000 ",$0 ,1,1,35.293822,-81.7355,0.79
CMS Food Solutions,Brunswick&nbsp;County,3,"2080 Enterprise Drive, Leland, NC",,11/2/11,One NC,"Closed, $0 Disbursed",52,0,"$32,000 ",$0 ,"1,095","1,095",47,0,0,$746 ,$0 ,"$43,115 ","$3,960,000 ",$0 ,1,1,34.26902,-78.068585,0.848
Coilplus,Guilford&nbsp;County,3,"426 Chimney Rock Road, Greensboro, NC",,11/9/11,One NC,Active,23,0,"$50,000 ",$0 ,"1,095",783,21,41,41,$743 ,$0 ,"$42,947 ","$11,430,000 ",$0 ,1,1,36.063715,-79.92922,0.78
Commonwealth Brands,Rockingham&nbsp;County,1,"301 North Scales Street, Reidsville, NC",,2/3/10,One NC,"Closed, $0 Disbursed",35,0,"$100,000 ",$0 ,"1,095","1,095",32,224,224,$650 ,$0 ,"$37,571 ","$6,030,000 ",$0 ,1,1,36.366268,-79.665355,0.902
Compass Group USA,Mecklenburg&nbsp;County,3,"2400 Yorkmont Rd, Charlotte, NC 28217-4511",,6/20/11,JDIG,Terminated,200,Not Reported,"$1,755,000 ",$0 ,"1,460","1,460",180,939,Not Reported,"$52,500 ",Not Reported,"$52,500 ","$4,950,000 ", Not Reported ,0,0,35.190469,-80.91872,1
Conopco,Hoke&nbsp;County,2,"100 Faberge Blvd, Raeford, NC",,4/20/11,One NC,"Closed, Funds Disbursed",65,33,"$195,000 ","$97,500 ","1,095","1,095",59,275,275,$685 ,$994 ,"$39,605 ","$31,500,000 ","$9,932,225 ",1,1,34.953431,-79.233178,0.511
Conopco,Hoke&nbsp;County,2,"100 Faberge Blvd, Raeford, NC",,10/3/12,One NC,Active,21,0,"$63,000 ",$0 ,"1,095",454,19,340,340,$571 ,$0 ,"$32,965 ","$26,910,000 ",$0 ,1,1,34.953431,-79.233178,0.511
Continental Automotive Systems,Henderson&nbsp;County,3,"One Quality Way									, Fletcher, NC 28732-9385",,7/20/09,JDIG,Active,338,250,"$2,155,500 ","$303,000 ","1,460","1,260",304,288,291,"$32,561 ","$39,965 ","$36,179 ","$27,141,000 ","$32,043,237 ",1,1,35.418546,-82.548643,0.934
Cooper Standard Automotive,Wayne&nbsp;County,2,"308 Fedelon Trail, Goldsboro, NC",,9/23/11,One NC,"Closed, Funds Disbursed",137,270,"$157,400 ","$157,400 ","1,095","1,095",123,373,373,$549 ,$955 ,"$31,713 ","$16,122,245 ","$20,059,113 ",1,1,35.414397,-77.988475,0.902
Cree,Durham&nbsp;County,3,"4600 Silicone Drive, Durham, NC 27703-8475",,9/20/10,JDIG,Active,244,277,"$2,236,500 ","$144,000 ",730,730,220,"1,723","1,746","$38,453 ","$68,824 ","$42,726 ","$121,500,000 ","$208,424,991 ",1,1,35.900194,-78.840284,0.973
CTL Packaging,Gaston&nbsp;County,2,"1055 Gastonia Technology Parkway									, Dallas, NC 28034-6724",,10/26/11,JDIG,Active,131,21,"$1,328,550 ",$0 ,"1,460",432,118,0,0,"$38,219 ","$58,613 ","$42,466 ","$52,650,000 ",$0 ,1,1,35.302616,-81.200631,0.808
Culp,Guilford&nbsp;County,3,"Highway 158, Stokesdale, NC",,8/7/12,One NC,Active,129,84,"$82,560 ","$41,280 ","1,460",511,116,413,413,$473 ,$934 ,"$24,031 ","$405,000 ","$870,984 ",1,1,36.251089,-79.90209,0.729
Curtiss-Wright Controls,Cleveland&nbsp;County,1,"201 Old Boiling Springs Road, Shelby, NC",,4/4/11,One NC,"Closed, $0 Disbursed",25,0,"$130,000 ",$0 ,"1,095","1,095",25,307,307,$872 ,$0 ,"$50,354 ","$11,655,000 ",$0 ,1,1,35.285103,-81.589122,0.902
Deere-Hitachi Construction Machinery,Forsyth&nbsp;County,3,"1000 Deere-Hitachi Rd, Kernersville, NC",,10/5/12,One NC,Active,340,0,"$510,000 ",$0 ,"1,460",452,306,743,743,$769 ,$0 ,"$42,102 ","$87,442,000 ",$0 ,1,1,36.118312,-80.101271,0.518
Deere-Hitachi Construction Machinery,Forsyth&nbsp;County,3,"1000 Deere-Hitachi Rd, Kernersville, NC 27284-2275",,10/5/12,JDIG,Active,340,Not Reported,"$2,631,750 ",$0 ,"1,460",87,306,743,Not Reported,"$39,997 ",Not Reported,"$42,102 ","$87,442,000 ", Not Reported ,0,0,36.118312,-80.101271,0.609
Denver Global Products,Lincoln&nbsp;County,3,"1000 Powell St, Lincolnton, NC 28092-6137",,10/15/12,JDIG,Active,450,Not Reported,"$2,747,250 ",$0 ,"1,095",77,405,33,Not Reported,"$26,847 ",Not Reported,"$29,777 ","$27,239,000 ", Not Reported ,0,0,35.335559,-81.861688,0.61
Deutsche Bank,Wake&nbsp;County,3,"3000 Centre Green Way							, Cary, NC 27513-5775",,8/13/09,JDIG,Active,319,242,"$9,414,750 ","$569,678 ","1,460","1,236",287,0,0,"$79,392 ","$114,263 ","$88,213 ","$6,030,000 ","$7,121,593 ",1,1,35.826621,-78.798194,0.982
DNP IMS America Corp,Cabarrus&nbsp;County,3,"4524 Enterprise Drive NW, Concord, NC",,9/21/10,One NC,"Closed, Funds Disbursed",37,59,"$80,000 ","$80,000 ","1,095","1,095",33,98,98,$809 ,"$1,094 ","$46,757 ","$22,320,000 ","$25,430,326 ",1,1,35.422323,-80.658573,0.902
Draka Elevator Products,Nash&nbsp;County,2,"2051 N Church Street, Rocky Mount, NC",,12/12/12,One NC,Active,67,6,"$100,000 ",$0 ,"1,095",384,60,136,136,$764 ,"$1,180 ","$44,164 ","$2,800,000 ","$233,000 ",1,1,34.334469,-78.698576,0.61
DRS Technical Services,Pasquotank&nbsp;County,2,"1060 Consolidated Rd, Elizabeth City, NC 27909-7835",,4/13/09,JDIG,Terminated,100,15,"$1,181,500 ",$0 ,730,730,100,203,203,"$43,091 ","$52,887 ","$48,779 ",$0 ,$0 ,1,1,36.255551,-76.168191,1
DuBose Strapping,Sampson&nbsp;County,2,"906 Industrial Drive, Clinton, NC",,5/2/11,One NC,"Closed, Funds Disbursed",34,29,"$138,000 ","$103,500 ","1,095","1,095",31,93,93,$747 ,"$1,003 ","$43,176 ","$9,450,000 ","$9,652,156 ",1,1,35.024928,-78.335408,0.902
DuPont,Bladen&nbsp;County,1,"22828 NC Highway 87 West, Fayetteville, NC",,8/19/09,One NC,"Closed, $0 Disbursed",10,0,"$50,000 ",$0 ,"1,095","1,095",10,471,471,$627 ,$0 ,"$36,278 ","$55,000,000 ",$0 ,1,1,34.794087,-78.818356,0.603
