Company,funding_id,County,Distress Tier (1 is highest),Primary address,Other counties,Award date,Program,Status,Announced new jobs,Actual new jobs,Projected award,Awarded to date,Grant term (days),Elapsed days,Minimum new jobs,Minimum retained jobs,Actual retained jobs,Minimum average wage,Actual average wage,Announced wage,Investment required,Actual investment,count-project,count-grant,lat,lng,
Alpla,171,Hoke&nbsp;County,2,"US Highway 211 E, Raeford, NC",,7/7/09,One NC,"Closed, Funds Disbursed",40,45,"$120,000","$120,000","1,095","1,095",36,0,0,$562,$586.00,"$32,450","$6,480,000","$8,402,006.00",1,1,34.97108,-79.2218,
Amark Corp,252,Pasquotank&nbsp;County,2,"100 Kitty Hawk Lane, Elizabeth City NC",,7/6/10,One NC,"Closed, $0 Disbursed",43,0,"$126,000",$0,"1,095","1,095",39,0,0,$634,$0.00,"$36,618","$504,000",$0.00,1,1,36.27536,-76.2152,
American Roller Bearing,409,Burke&nbsp;County,1,"1000 Chain Drive, Morganton, NC 28655-7239","Alexander, Burke (Both tier 1)",12/8/11,JDIG,Active,231,44,"$2,031,000","$59,520","1,825",754,208,344,344,"$34,708","$46,027.00","$38,528","$21,330,000",$0.00,1,1,35.70225,-81.7924,
Americhem,305,Randolph&nbsp;County,2,"7280 Liberty Park Road, Liberty NC",,12/10/10,One NC,"Closed, $0 Disbursed",71,0,"$225,000",$0,"1,095","1,095",64,127,127,$613,$0.00,"$35,437","$19,962,000",$0.00,1,1,35.82214,-79.5581,
Ameridial,430,Rutherford&nbsp;County,1,"500 West Street, Spindale, NC",,3/8/12,One NC,"Closed, $0 Disbursed",195,0,"$100,000",$0,"1,095","1,095",176,38,38,$376,$0.00,,"$1,894,500",$0.00,1,1,35.36749,-81.9356,
AptarGroup,355,Lincoln&nbsp;County,2,"3300 Finger Mill Road, Lincolnton, NC 28092-6129",,5/16/11,JDIG,Active,150,83,"$1,006,400","$111,350","1,825",960,135,0,0,"$32,680","$57,850.00","$36,311","$47,933,415",$0.00,1,1,35.54673,-81.2215,
Arvato Digital Services,301,Buncombe&nbsp;County,3,"108 Monticello Road, Weaverville, NC",,11/24/10,One NC,"Closed, $0 Disbursed",408,0,"$200,000",$0,"1,095","1,095",367,575,575,$452,$0.00,"$26,143","$1,620,000",$0.00,1,1,35.70893,-82.5777,
ASCO Power Technologies,142,Davidson&nbsp;County,2,"325 Welcome Center Blvd, Welcome, NC 27374",,2/18/09,JDIG,Active,328,178,"$2,540,000","$63,845","1,825","1,777",295,211,211,"$39,532","$36,858.00","$43,924","$10,260,000","$11,575,860.00",1,1,36.09491,-79.2628,
Aseptia,392,Montgomery&nbsp;County,1,"131 Industrial Drive, Troy, NC",,10/31/11,One NC,"Closed, Funds Disbursed",75,77,"$150,000","$150,000","1,095","1,095",68,0,0,$546,$755.53,"$31,470","$9,180,000","$10,289,926.64",1,1,35.36352,-79.8021,
Ashley Furniture Industries,437,Davie&nbsp;County,2,"221 Ashley Furniture Way, Advance, NC 27006",,4/20/12,JDIG,Active,550,264,"$3,190,050","$138,977","1,460",620,468,10,10,"$27,237","$31,114.00","$28,181","$73,580,452",$0.00,1,1,36.37937,-80.7037,
Ashley Furniture Industries,438,Davie&nbsp;County,2,"Baltimore Road, Advance, NC",,4/20/12,One NC,Active,550,0,"$825,000",$0,"1,095",985,443,10,10,$524,$0.00,"$28,181","$73,530,000",$0.00,0,1,35.98598,-80.4605,
Automatic Rolls of North Carolina,219,Johnston&nbsp;County,3,"68 Harvest Mill Lane, Clayton, NC",,2/19/10,One NC,"Closed, Funds Disbursed",84,63,"$350,000","$262,500","1,460","1,460",76,0,0,$724,$745.00,"$41,815","$22,500,000","$36,431,486.00",1,1,35.65089,-78.4877,
Avaya,404,Durham&nbsp;County,3,"4001 E Chapel Hill-Nelson Way, Research Triangle Park, NC 27709-0158",,11/28/11,JDIG,"Terminated, $0 Reimbursements Issued",135,0,"$1,692,000",$0,"1,460","1,460",135,304,297,"$87,704",$0.00,"$87,704",$0,$0.00,1,1,36.00399,-78.9393,
Avgol America,323,Davie&nbsp;County,2,"178 Avgol Drive, Mocksville, NC",,2/10/11,One NC,"Closed, $0 Disbursed",42,0,"$84,000",$0,"1,095","1,095",38,107,107,$504,$0.00,"$33,629","$31,500,000",$0.00,1,1,35.87627,-80.5621,
BAE Systems Shared Services,306,Mecklenburg&nbsp;County,3,"11215 Rushmore Drive, Charlotte, NC 28277-3439",,12/16/10,JDIG,Active,176,169,"$1,961,250","$511,295","1,095","1,095",158,0,0,"$46,353","$67,678.00","$51,392",$0,$0.00,1,1,35.06101,-80.8584,
Bakers Waste Equipment,475,Caldwell&nbsp;County,1,"1808 Norwood St SW, Lenoir, NC",,10/1/12,One NC,Active,60,32,"$240,000","$120,000","1,095",821,54,82,82,$561,$595.00,"$29,157","$2,644,000","$2,064,255.00",1,1,35.88218,-81.52,
Baldor Electric Co,159,McDowell&nbsp;County,2,"510 Rockwell Drive, Marion, NC",,5/15/09,One NC,"Closed, Funds Disbursed",25,25,"$75,000","$75,000","1,095","1,095",23,95,95,$593,$839.00,"$34,282","$2,790,000","$5,428,039.00",1,1,35.64202,-81.9907,
Baldor Electric Co,168,Cleveland&nbsp;County,1,"101 Reliance Road, Kings Mountain, NC",,6/22/09,One NC,"Closed, Funds Disbursed",114,59,"$157,000","$89,490","1,095","1,095",103,483,483,$663,"$1,017.00","$38,329","$10,980,000","$13,695,190.00",1,1,35.24948,-81.4107,
Baldor Electric Co,169,Buncombe&nbsp;County,3,"70 Reems Creek Road, Weaverville, NC",,6/26/09,One NC,"Closed, Funds Disbursed",32,11,"$64,000","$24,320","1,095","1,095",29,128,128,$730,"$1,006.00","$42,209","$4,320,000","$4,768,511.00",1,1,35.68439,-82.5653,
Baldor Electric Co,402,McDowell&nbsp;County,1,"510 Rockwell Drive, Marion, NC",,11/21/11,One NC,"Closed, Funds Disbursed",41,23,"$123,000","$61,500","1,095","1,095",37,120,120,$611,$831.00,"$35,322","$15,975,000","$13,915,523.00",1,1,35.64202,-81.9907,
Baldor Electric Co,413,Cleveland&nbsp;County,1,"4401 East Dixon Blvd, Shelby, NC",,12/30/11,One NC,Active,166,0,"$400,000",$0,"1,460","1,097",149,"1,125",1125,$768,$0.00,"$32,344","$15,300,000",$0.00,1,1,35.26545,-81.4776,
Balfour Beatty Rail,503,Wayne&nbsp;County,2,"1503 Hwy 117 Bypass N, Goldsboro, NC",,12/31/12,One NC,Active,29,22,"$60,000","$30,000","1,095",730,26,56,56,$744,"$1,067.00","$43,000","$945,000","$706,962.00",1,1,35.40142,-77.9854,
Baltek,276,Guilford&nbsp;County,3,"High Point, NC",,9/16/10,One NC,"Closed, Funds Disbursed",68,47,"$204,000","$102,000","1,095","1,095",61,0,0,$670,"$1,117.00","$37,817","$2,250,000","$2,947,956.00",1,1,36.08,-79.9816,
Bayer CropScience,157,Wake&nbsp;County,3,"3500 Paramount Parkway, Morrisville, NC 27560-7218",,5/6/09,JDIG,Active,128,169,"$2,321,250","$529,048","1,825","1,700",128,476,516,"$90,916","$97,464.00","$101,018","$9,180,000","$21,926,082.00",1,1,35.857,-78.8302,
Beardow Adams,467,Mecklenburg&nbsp;County,3,"3034 Horseshoe Lane, Charlotte, NC",,8/14/12,One NC,Active,31,7,"$37,600",$0,"1,095",869,22,0,0,$917,"$1,500.00","$52,984","$4,590,000","$6,000,000.00",1,1,35.19817,-80.9285,
Becton Dickinson and Co,255,Johnston&nbsp;County,3,"Four Oaks Business Park, Four Oaks, NC",,7/16/10,One NC,"Closed, Funds Disbursed",187,129,"$600,000","$462,000","1,460","1,460",168,0,0,$498,$700.23,"$28,771","$34,560,000","$32,714,295.00",1,1,35.3159,-78.2976,
BestSweet,366,Iredell&nbsp;County,3,"288 Mazeppa Road, Mooresville, NC",,7/1/11,One NC,"Closed, $0 Disbursed",37,0,"$50,000",$0,"1,095","1,095",33,272,272,$679,$0.00,"$39,215","$5,747,850",$0.00,1,1,35.61871,-80.805,
Bluestar Silicones USA Corp,327,Mecklenburg&nbsp;County,3,"12345 Steele Creek Road, Charlotte, NC",,2/24/11,One NC,"Closed, $0 Disbursed",125,0,"$340,000",$0,"1,095","1,095",113,0,0,"$1,074",$0.00,"$62,040","$17,820,000",$0.00,1,1,35.12481,-80.9807,
Boral Composites,261,Rowan&nbsp;County,2,"701 South Long Street, East Spencer, NC",,8/2/10,One NC,"Closed, Funds Disbursed",25,16,"$50,000","$35,000","1,095","1,095",23,0,0,$618,"$1,337.00","$35,700","$11,520,000","$15,244,378.00",1,1,35.67904,-80.4425,
BRP US,436,Mitchell&nbsp;County,1,"1211 Greenwood Road, Spruce Pine, NC",,4/16/12,One NC,"Closed, $0 Disbursed",70,0,"$210,000",$0,"1,095","1,095",63,164,164,$652,$0.00,"$37,660","$1,030,500",$0.00,1,1,35.91214,-82.0902,
Brunswick Corp,257,Craven&nbsp;County,2,"110 N Glenburnie Road, New Bern, NC 28560-2703",,7/20/10,JDIG,"Terminated, Reimbursements Issued",350,221,"$3,068,500","$364,643","1,825","1,825",315,279,279,"$28,283","$36,040.00","$31,425","$4,230,000","$4,671,767.00",0,1,35.13723,-77.073,
Brunswick Corp,258,Craven&nbsp;County,2,"110 N Glenburnie Road, New Bern, NC",,7/20/10,One NC,"Closed, Funds Disbursed",350,221,"$60,850","$45,637",730,730,220,277,277,$544,$693.00,"$31,425","$4,230,000","$8,622,806.00",1,1,35.13723,-77.073,
Burlington Technologies,427,Alamance&nbsp;County,2,"1305 Graham Street, Burlington, NC",,2/16/12,One NC,"Closed, $0 Disbursed",110,0,"$120,000",$0,"1,095","1,095",99,106,106,$391,$0.00,"$22,727","$652,500",$0.00,1,1,36.08746,-79.4155,
Capgemini Financial Services,316,Mecklenburg&nbsp;County,3,"2001 South College Street, Charlotte, NC 28244-0012",,1/13/11,JDIG,Active,550,211,"$3,936,000","$74,444","1,095","1,083",495,5,5,"$56,156","$79,643.00","$62,396",$0,$0.00,1,1,35.21668,-80.8548,
Carolina Precision Plastics,416,Davie&nbsp;County,2,"111 Kaydon Drive, Mocksville, NC",,1/13/12,One NC,"Closed, Funds Disbursed",140,70,"$250,000","$125,000","1,095","1,095",126,285,285,$678,"$1,142.00","$39,183","$4,770,000","$8,151,112.00",1,1,35.87311,-80.5578,
Carolina Store Fixtures,445,Martin&nbsp;County,1,"28333 US Hwy 64, Jamesville, NC",,6/6/12,One NC,"Closed, $0 Disbursed",100,0,"$200,000",$0,"1,095","1,095",90,0,0,$477,$0.00,"$25,000","$171,000",$0.00,1,1,35.80858,-76.8843,
Caterpillar,259,Forsyth&nbsp;County,3,"2950 Temple School Road, Winston-Salem, NC 27107-3717",,7/30/10,JDIG,Active,392,305,"$4,677,750","$704,484","1,825","1,250",353,0,0,"$36,434","$49,703.00","$40,482","$362,100,000","$368,654,194.00",1,1,36.05776,-80.1224,
Caterpillar,260,Forsyth&nbsp;County,3,"2950 Temple School Rd, Winston-Salem, NC",,7/30/10,One NC,Active,392,181,"$600,000","$374,000","1,095","1,095",289,0,0,$701,"$1,505.00","$40,482","$362,100,000","$307,477,767.00",0,1,36.05711,-80.1113,
Caterpillar,263,Lee&nbsp;County,2,"5008 Womack Road, Sanford, NC 27330",,8/5/10,JDIG,Active,485,340,"$3,462,050","$653,650","1,460","1,244",293,825,1022,"$32,042","$50,917.00","$35,602","$25,470,000","$27,819,121.00",0,1,35.54959,-79.1747,
Caterpillar,265,Lee&nbsp;County,2,"5000 Womack Drive, Sanford, NC",,8/5/10,One NC,"Closed, Funds Disbursed",485,340,"$600,000","$600,000","1,095","1,095",244,825,825,$616,$979.00,"$35,602","$25,470,000","$278,189,121.00",1,1,35.54955,-79.1745,
Caterpillar,422,Johnston&nbsp;County,3,"954 Highway 42 East, Clayton, NC 27527-8078",,2/1/12,JDIG,Active,199,86,"$1,644,000","$145,873","1,825",699,169,"1,294",1279,"$37,319","$49,756.00","$41,466","$29,700,000",$0.00,1,1,35.59273,-78.3539,
Caterpillar,423,Johnston&nbsp;County,3,"954 Highway 42 East, Clayton, NC",,2/1/12,One NC,Active,199,0,"$400,000",$0,730,730,141,"1,144",1144,$654,$0.00,"$41,466","$29,700,000",$0.00,0,1,35.63819,-78.482,
Caye Home Furnishings,178,Alexander&nbsp;County,2,"Former Broyhill Furniture Facility,Taylorsville, NC",,9/9/09,One NC,"Closed, $0 Disbursed",128,0,"$250,000",$0,"1,095","1,095",115,52,52,$522,$0.00,"$30,142","$1,260,000",$0.00,1,1,35.91691,-81.2097,
Celgard,213,Mecklenburg&nbsp;County,3,"13800 South Lakes Drive, Charlotte, NC 28273-6738",Cabarrus (Tier 3),1/20/10,JDIG,Active,289,251,"$4,593,750","$1,133,698","1,825","1,441",260,390,390,"$51,264","$57,783.00","$56,960","$81,900,000","$87,749,699.00",1,1,35.10739,-80.9593,
Celgard,214,Cabarrus&nbsp;County,3,"Concord, NC",Mecklenburg (Tier 3),1/20/10,One NC,"Closed, Funds Disbursed",289,319,"$955,000","$955,000",730,730,203,390,390,$986,"$1,097.00","$56,960","$81,900,000","$101,318,274.00",0,1,35.42154,-80.6582,
Celgard,376,Cabarrus&nbsp;County,3,"390 Business Blvd, Concord, NC 28025",,7/25/11,JDIG,Active,250,0,"$2,298,750",$0,730,730,225,774,643,"$34,121",$0.00,"$37,912","$94,500,000","$1,489,245.00",0,1,35.42154,-80.6582,
Celgard,377,Cabarrus&nbsp;County,3,"390 Business Blvd, Concord, NC",,7/25/11,One NC,"Closed, $0 Disbursed",250,0,"$500,000",$0,730,730,225,711,711,$656,$0.00,"$37,912","$94,500,000","$1,489,245.00",1,1,35.42154,-80.6582,
Central States Manufacturing,180,Surry&nbsp;County,1,"751 Piedmont Triad West, Mount Airy, NC",,9/21/09,One NC,"Closed, Funds Disbursed",45,42,"$135,000","$135,000","1,095","1,095",41,0,0,$704,$909.00,"$40,656","$2,430,000","$4,448,000.00",1,1,36.5187,-80.6934,
CertainTeed Corp,254,Person&nbsp;County,2,"Semora, NC",,7/12/10,One NC,Active,89,73,"$300,000","$225,000","1,825","1,633",80,0,0,$956,"$1,189.00","$55,247","$144,000,000","$149,202,365.00",1,1,36.49847,-79.1489,
CertainTeed Corp,370,Granville&nbsp;County,2,"200 CertainTeed Drive, Oxford, NC",,7/12/11,One NC,"Closed, $0 Disbursed",10,0,"$30,000",$0,"1,095","1,095",10,266,266,"$1,104",$0.00,"$63,800","$18,000,000",$0.00,1,1,36.29337,-78.6121,
CertainTeed Corp,384,Wilkes&nbsp;County,1,"1149 Abtco Road, North Wilkesboro, NC",,10/4/11,One NC,"Closed, $0 Disbursed",29,0,"$98,000",$0,"1,095","1,095",26,76,76,$740,$0.00,"$42,741","$2,468,700",$0.00,1,1,36.20066,-81.029,
Chiquita Brands,406,Mecklenburg&nbsp;County,3,"550 S Caldwell Street								, Charlotte, NC 28202-2633",,11/29/11,JDIG,Active,400,281,"$16,130,250","$543,368","1,095",763,375,4,13,"$96,121","$113,115.00","$106,000","$12,751,000",$0.00,0,1,35.22026,-80.8441,
Chiquita Brands,407,Mecklenburg&nbsp;County,3,"550 S Caldwell Street								, Charlotte, NC 28202-2633",,11/29/11,One NC,Active,400,281,"$2,503,114","$1,021,275","1,095","1,095",375,4,4,"$1,848","$2,175.29","$106,000","$12,751,000","$12,713,849.00",1,1,35.22026,-80.8441,
Citco Fund Services,247,Mecklenburg&nbsp;County,3,"201 South College St, Charlotte, NC 28244-0002",,6/3/10,JDIG,Active,258,Not Reported,"$4,137,750",$0,"1,460","1,307",232,0,Not Reported,"$70,430",Not Reported,"$78,256",$0,Not Reported,0,0,35.22547,-80.8431,
Citrix Systems,446,Wake&nbsp;County,3,"120 S West Street, Raleigh, NC 27603-1834",,6/7/12,JDIG,Active,337,223,"$8,655,000","$295,500","1,460",572,286,153,153,"$63,626","$70,358.00","$70,623","$11,250,000","$6,758,591.00",1,1,35.77957,-78.646,
Clariant Corp,230,Mecklenburg&nbsp;County,3,"4000 Monroe Road, Charlotte, NC",,4/5/10,One NC,"Closed, $0 Disbursed",50,0,"$55,000",$0,"1,095","1,095",45,382,382,"$1,485",$0.00,"$85,796","$2,250,000",$0.00,1,1,35.19747,-80.7925,
Clearwater Paper Corp,248,Cleveland&nbsp;County,1,"671 Washburn Switch Road, Shelby, NC 28150-7712",,6/10/10,JDIG,Active,250,232,"$3,478,000","$652,000","1,460","1,300",225,2,2,"$34,107","$52,774.00","$38,000","$234,000,000","$267,382,432.00",0,1,35.31567,-81.6077,
Clearwater Paper Corp,249,Cleveland&nbsp;County,1,"671 Washburn Switch Rd, Shelby, NC",,6/10/10,One NC,"Closed, Funds Disbursed",250,232,"$500,000","$500,000","1,095","1,095",209,2,2,$656,"$1,015.00","$38,000","$234,000,000","$306,264,740.00",1,1,35.31585,-81.608,
CMI Enterprises,256,Rutherford&nbsp;County,1,"630 NC Highway 120, Mooresboro, NC",,7/18/10,One NC,"Closed, $0 Disbursed",53,0,"$33,000",$0,"1,095","1,095",48,0,0,$390,$0.00,"$22,528","$333,000",$0.00,1,1,35.29382,-81.7355,
CMS Food Solutions,393,Brunswick&nbsp;County,3,"2080 Enterprise Drive, Leland, NC",,11/2/11,One NC,"Closed, $0 Disbursed",52,0,"$32,000",$0,"1,460","1,460",47,0,0,$746,$0.00,"$43,115","$3,960,000",$0.00,1,1,34.26902,-78.0686,
Coilplus,396,Guilford&nbsp;County,3,"426 Chimney Rock Road, Greensboro, NC",,11/9/11,One NC,"Closed, Funds Disbursed",23,17,"$50,000","$40,500","1,095","1,095",21,41,41,$743,"$1,286.00","$42,947","$11,430,000","$13,594,606.00",1,1,36.06372,-79.9292,
Commonwealth Brands,217,Rockingham&nbsp;County,1,"301 North Scales Street, Reidsville, NC",,2/3/10,One NC,"Closed, $0 Disbursed",35,0,"$100,000",$0,"1,095","1,095",32,224,224,$650,$0.00,"$37,571","$6,030,000",$0.00,1,1,36.36627,-79.6654,
Compass Group USA,360,Mecklenburg&nbsp;County,3,"2400 Yorkmont Rd, Charlotte, NC 28217-4511",,6/20/11,JDIG,"Terminated, $0 Reimbursements Issued",200,Not Reported,"$1,755,000",$0,"1,460","1,460",180,939,Not Reported,"$52,500",Not Reported,"$52,500","$4,950,000",Not Reported,0,0,35.19047,-80.9187,
Conopco,349,Hoke&nbsp;County,2,"100 Faberge Blvd, Raeford, NC",,4/20/11,One NC,"Closed, Funds Disbursed",65,33,"$195,000","$97,500","1,095","1,095",59,275,275,$685,$994.00,"$39,605","$31,500,000","$9,932,225.00",1,1,34.95343,-79.2332,
Conopco,477,Hoke&nbsp;County,2,"100 Faberge Blvd, Raeford, NC",,10/3/12,One NC,Active,21,0,"$63,000",$0,"1,095",819,19,340,340,$571,$0.00,"$32,965","$26,910,000",$0.00,1,1,34.95343,-79.2332,
Continental Automotive Systems,173,Henderson&nbsp;County,3,"One Quality Way									, Fletcher, NC 28732-9385",,7/20/09,JDIG,Active,338,316,"$2,155,500","$540,000","1,460","1,460",304,288,288,"$32,561","$43,580.00","$36,179","$27,141,000","$32,043,237.00",1,1,35.41855,-82.5486,
Cooper Standard Automotive,383,Wayne&nbsp;County,2,"308 Fedelon Trail, Goldsboro, NC",,9/23/11,One NC,"Closed, Funds Disbursed",137,270,"$157,400","$157,400","1,095","1,095",123,373,373,$549,$955.00,"$31,713","$16,122,245","$20,059,113.00",1,1,35.4144,-77.9885,
Cree,277,Durham&nbsp;County,3,"4600 Silicone Drive, Durham, NC 27703-8475",,9/20/10,JDIG,Active,244,598,"$2,236,500","$376,500",730,730,220,"1,723",1723,"$38,453","$69,341.00","$42,726","$121,500,000","$208,424,991.00",1,1,35.90019,-78.8403,
CTL Packaging,390,Gaston&nbsp;County,2,"1055 Gastonia Technology Parkway									, Dallas, NC 28034-6724",,10/26/11,JDIG,Active,131,30,"$1,328,550",$0,"1,460",797,118,0,1,"$38,219","$56,485.00","$42,466","$52,650,000",$0.00,1,1,35.30262,-81.2006,
Culp,464,Guilford&nbsp;County,3,"Highway 158, Stokesdale, NC",,8/7/12,One NC,Active,129,84,"$82,560","$41,280","1,460",876,116,413,413,$473,$934.00,"$24,031","$405,000","$870,984.00",1,1,36.25109,-79.9021,
Curtiss-Wright Controls,339,Cleveland&nbsp;County,1,"201 Old Boiling Springs Road, Shelby, NC",,4/4/11,One NC,"Closed, $0 Disbursed",25,0,"$130,000",$0,"1,095","1,095",25,307,307,$872,$0.00,"$50,354","$11,655,000",$0.00,1,1,35.2851,-81.5891,
Deere-Hitachi Construction Machinery,479,Forsyth&nbsp;County,3,"1000 Deere-Hitachi Rd, Kernersville, NC 27284-2275",,10/5/12,JDIG,Active,340,0,"$2,631,750",$0,"1,460",452,306,743,733,"$39,997",$0.00,"$42,102","$87,442,000",$0.00,0,1,36.11831,-80.1013,
Deere-Hitachi Construction Machinery,480,Forsyth&nbsp;County,3,"1000 Deere-Hitachi Rd, Kernersville, NC",,10/5/12,One NC,Active,340,0,"$510,000",$0,"1,460",817,306,743,743,$769,$0.00,"$42,102","$87,442,000",$0.00,1,1,36.11831,-80.1013,
Denver Global Products,483,Lincoln&nbsp;County,3,"1000 Powell St, Lincolnton, NC 28092-6137",,10/15/12,JDIG,"Terminated, $0 Reimbursements Issued",450,64,"$2,747,250",$0,"1,095","1,095",405,33,33,"$26,847","$52,972.00","$29,777","$27,239,000",$0.00,1,1,35.33556,-81.8617,
Deutsche Bank,174,Wake&nbsp;County,3,"3000 Centre Green Way							, Cary, NC 27513-5775",,8/13/09,JDIG,Active,319,316,"$9,414,750","$1,450,928","1,460","1,460",287,0,62,"$79,392","$117,362.00","$88,213","$6,030,000","$7,121,593.00",1,1,35.82662,-78.7982,
DNP IMS America Corp,278,Cabarrus&nbsp;County,3,"4524 Enterprise Drive NW, Concord, NC",,9/21/10,One NC,"Closed, Funds Disbursed",37,59,"$80,000","$80,000","1,095","1,095",33,98,98,$809,"$1,094.00","$46,757","$22,320,000","$25,430,326.00",1,1,35.42232,-80.6586,
Draka Elevator Products,492,Nash&nbsp;County,2,"2051 N Church Street, Rocky Mount, NC",,12/12/12,One NC,Active,67,6,"$100,000",$0,"1,095",749,60,136,136,$764,"$1,180.00","$44,164","$2,800,000","$233,000.00",1,1,34.33447,-78.6986,
DRS Technical Services,150,Pasquotank&nbsp;County,2,"1060 Consolidated Rd, Elizabeth City, NC 27909-7835",,4/13/09,JDIG,"Terminated, $0 Reimbursements Issued",100,15,"$1,181,500",$0,730,730,100,203,203,"$43,091","$52,887.00","$48,779",$0,$0.00,1,1,36.25555,-76.1682,
DuBose Strapping,351,Sampson&nbsp;County,2,"906 Industrial Drive, Clinton, NC",,5/2/11,One NC,"Closed, Funds Disbursed",34,29,"$138,000","$103,500","1,095","1,095",31,93,93,$747,"$1,003.00","$43,176","$9,450,000","$9,652,156.00",1,1,35.02493,-78.3354,
DuPont,175,Bladen&nbsp;County,1,"22828 NC Highway 87 West, Fayetteville, NC",,8/19/09,One NC,"Closed, $0 Disbursed",10,0,"$50,000",$0,"1,095","1,095",10,471,471,$627,$0.00,"$36,278","$55,000,000",$0.00,1,1,34.79409,-78.8184,
Eaton Corp,324,Person&nbsp;County,2,"2564 Durham Road, Roxboro, NC 27573-6172",,2/21/11,JDIG,Active,120,100,"$957,100","$120,059","1,460","1,044",108,201,201,"$32,288","$38,139.00","$35,875","$20,970,000","$27,406,826.00",0,1,36.3784,-78.9834,
Eaton Corp,326,Person&nbsp;County,2,"2564 Durham Road, Roxboro, NC",,2/21/11,One NC,Active,120,100,"$100,000","$18,000","1,095","1,095",85,201,201,$621,$733.00,"$35,875","$20,970,000","$28,341,521.00",1,1,36.37887,-78.9838,
EcoVolt Power Corp,341,Yadkin&nbsp;County,2,"100 Century Point Drive, East Bend, NC",,4/6/11,One NC,"Closed, $0 Disbursed",61,0,"$200,000",$0,"1,095","1,095",55,0,0,$484,$0.00,"$27,982","$18,528,300",$0.00,1,1,36.2229,-80.4577,
Edwards Wood Products/Woodlawn,251,McDowell&nbsp;County,1,"8482 Hwy 221 N, Marion, NC",,6/30/10,One NC,"Closed, $0 Disbursed",32,40,"$96,000",$0,"1,825","1,825",29,0,0,$483,$483.00,"$27,904","$1,710,000","$6,630,000.00",1,1,35.79189,-82.0377,
EI Inc,432,Rowan&nbsp;County,2,"2865 North Cannon Blvd, Kannapolis, NC",,3/23/12,One NC,"Closed, $0 Disbursed",119,0,"$500,000",$0,"1,095","1,095",107,208,208,$651,$0.00,"$37,616","$11,880,000",$0.00,1,1,35.53061,-80.61,
