funding_id,announce_id,joint_project,governor,fund_company_name,clean_company_name,proj_jobs,actual_new_jobs,job_pct,total_award,award_to_company,disbursements_company,award_pct,county,tiers,site_address,award_date,funding_program,grant_status,grant_term,elapsed_days,elapsed_pct,required_investment,actual_investment,count_jobs
710,472,0,MCCRORY,The Hillshire Brands Company,HILLSHIRE BRANDS COMPANY,98,39,39.8,300000,300000,0,0.0,Edgecombe,1,"110 Sara Lee Road, Tarboro, NC",1/19/2016,One NC ,Active,1095,1077,98.4,"$25,000,000 ","$29,712,869 ",1
711,473,0,MCCRORY,COTY US LLC,COTY,25,0,0,62000,62000,0,0.0,Lee,2,"1400 Broadway Road, Sanford, NC",1/21/2016,One NC ,Active,1095,1075,98.2,"$17,000,000 ",$0 ,1
712,474,0,MCCRORY,"Perdue Foods, LLC",PERDUE FOODS,30,0,0,90000,90000,0,0.0,Richmond,1,"416 South Long Drive, Rockingham, NC",2/8/2016,One NC ,Active,1095,1057,96.5,"$9,000,000 ",$0 ,1
157,14,0,PERDUE,Bayer CropScience LP,BAYER CROPSCIENCE,128,142,110.9,3095000,2321250,1363206,58.7,"Wake, Durham",3,"3500 Paramount Parkway, Morrisville, NC 27560-7218; 407 Davis Drive, Morrisville, NC 27560-6837; 2 T.W. Alexander Drive, Research Triangle Park, NC 27709-0144; ",5/6/2009,JDIG,Active,3285,3161,96.2,"$9,180,000 ","$21,926,082 ",1
161,19,0,PERDUE,Loparex LLC,LOPAREX,128,121,94.5,2786000,2358500,947025,40.2,"Rockingham, Wake","1, 3","816 Fieldcrest Rd., , Eden, NC 27288-3633; 1255 Crescent Green Dr., Suite 400, , Cary, NC 27518-8132",5/27/2009,JDIG,Active,3285,3140,95.6,"$12,000,000 ","$12,014,582 ",1
173,29,0,PERDUE,"Continental Automotive Systems, Inc. (Henderson)",CONTINENTAL AG,338,324,95.9,2874000,2155500,1617000,75.0,Henderson,3,"One Quality Way, , Fletcher, NC 28732-9385",7/20/2009,JDIG,Active,3285,3086,93.9,"$27,141,000 ","$32,043,237 ",1
181,37,0,PERDUE,EMC Corporation,EMC,397,489,123.2,9912000,7434000,3504000,47.1,"Wake, Durham",3,"5800 Technology Drive, Apex, NC 27539; 62 TW Alexander Drive, Research Triangle Park, NC 27709-0152; 4121 Surles Court, Durham, NC 27703-8055; ",9/24/2009,JDIG,Active,3285,3020,91.9,"$252,202,500 ","$289,341,232 ",1
188,43,0,PERDUE,"Premier Healthcare Solutions, Inc.  ",PREMIER,300,310,103.3,5452000,4089000,3296073,80.6,Mecklenburg,3,"13034 Ballantyne Corporate Place, Charlotte, NC 28277-1498",10/14/2009,JDIG,Active,3285,3000,91.3,"$15,930,000 ","$77,939,264 ",1
209,54,0,PERDUE,"Husqvarna Professional Products, Inc.",HUSQVARNA,160,169,105.6,3493000,2619750,2030250,77.5,Mecklenburg,3,"9335 Harris Corners Parkway, Suite 500, , Charlotte, NC 28269-3830; 8825 Statesville Road, Charlotte, NC 28269-7638",1/7/2010,JDIG,Active,3285,2915,88.7,"$7,425,000 ","$7,681,155 ",1
229,59,0,PERDUE,Alight Solutions LLC (fka Hewitt Associates L.L.C.),HEWITT ASSOCIATES,463,448,96.8,5357000,4017750,3305600,82.3,Mecklenburg,3,"7201 Hewitt Associates Drive, , Charlotte, NC 28262-4001",3/31/2010,JDIG,Active,3285,2832,86.2,$0 ,$0 ,1
578,363,0,MCCRORY,"Walmart Stores, Inc.",WALMART STORES,450,165,36.7,1100000,1100000,0,0.0,Alamance,2,"TBD, Mebane, NC",12/9/2013,One NC ,Active,2190,1848,84.4,"$90,000,000 ","$122,433,181 ",1
247,70,0,PERDUE,Citco Fund Services (USA) Inc.,CITCO FUND SERVICES,258,234,90.7,5517000,4137750,2187382,52.9,Mecklenburg,3,"201 South College St, 18th Floor, Charlotte, NC 28244-0002",6/3/2010,JDIG,Active,3285,2768,84.3,$0 ,$0 ,1
637,413,0,MCCRORY,Gordon Food Service LLC,GORDON FOOD SERVICE,275,0,0,500000,500000,0,0.0,Cabarrus,3,"TBD, Kannapolis,NC",10/24/2014,One NC ,Active,1825,1529,83.8,"$52,000,000 ",$0 ,1
734,489,0,MCCRORY,"B&G Foods Snacks, Inc.",B&G FOODS SNACKS,58,44,75.9,105000,105000,78750,75.0,Yadkin,2,"500 Chipita Way, Yadkinville, NC",6/30/2016,One NC ,Active,1095,914,83.5,"$6,800,000 ","$7,968,384 ",1
737,491,0,MCCRORY,"Dynamic Air Engineering, Inc.",DYNAMIC AIR ENGINEERING,53,0,0,110000,110000,0,0.0,Catawba,2,"2421 BGA Drive, Claremont, NC",7/18/2016,One NC ,Active,1095,896,81.8,"$6,000,000 ",$0 ,1
645,420,0,MCCRORY,Tosaf USA Inc.,TOSAF USA,75,45,60,225000,225000,112500,50.0,Gaston,2,"330 SouthRidge Parkway, Bessemer City,NC",12/11/2014,One NC ,Active,1825,1481,81.2,"$11,790,000 ","$19,848,459 ",1
306,108,0,PERDUE,BAE Systems Shared Services Inc.,BAE SYSTEMS,176,162,92,2615000,1961250,1374574,70.1,Mecklenburg,3,"11215 Rushmore Drive, Charlotte, NC 28277-3439",12/16/2010,JDIG,Active,3285,2572,78.3,$0 ,$0 ,1
742,496,0,MCCRORY,Yokohama Corporation of North America,YOKOHAMA TIRE CORP,56,0,0,150000,150000,0,0.0,Cabarrus,3,"TBD, Concord, NC",8/30/2016,One NC ,Active,1095,853,77.9,"$2,400,000 ",$0 ,1
743,497,0,MCCRORY,Peak Demand Inc.,PEAK DEMAND,37,4,10.8,100000,100000,0,0.0,Wilson,2,"605 Tarboro Street Annex SW, Wilson, NC",9/6/2016,One NC ,Active,1095,846,77.3,"$2,300,000 ","$1,318,000 ",1
653,427,0,MCCRORY,Scott Technologies Inc.,SCOTT TECHNOLOGIES,67,0,0,150000,150000,0,0.0,Union,3,"4320 Goldmine Road, City of Monroe,NC",2/25/2015,One NC ,Active,1825,1405,77,"$25,800,000 ","$6,218,387 ",1
744,498,0,MCCRORY,"CS Carolina, Inc.",CS CAROLINA,42,0,0,85000,85000,0,0.0,Alamance,2,"1305 Graham St., Burlington, NC",9/13/2016,One NC ,Active,1095,839,76.6,"$8,800,000 ",$0 ,1
174,31,0,PERDUE,"DB Global Technology, Inc. I",DEUTSCHE BANK AG,319,315,98.7,12553000,9414750,4975928,52.9,Wake,3,"3000 Centre Green Way, 3rd Floor, , Cary, NC 27513-5775",8/13/2009,JDIG,Active,4015,3062,76.3,"$6,030,000 ","$7,121,593 ",1
745,499,0,MCCRORY,Almac Group Inc,ALMAC GROUP,79,49,62,77000,77000,0,0.0,Durham,3,"4204 Technology Drive, NC",9/19/2016,One NC ,Active,1095,833,76.1,"$4,600,000 ","$4,142,000 ",1
658,432,0,MCCRORY,Packrite LLC,PACKRITE,100,31,31,100000,100000,25000,25.0,Guilford,2,"1650 Packrite Court, High Point ,NC",3/16/2015,One NC ,Active,1825,1386,75.9,"$8,000,000 ","$9,867,611 ",1
663,435,0,MCCRORY,"O'Neil Digital Solutions, LLC",ONEIL DIGITAL SOLUTIONS,250,58,23.2,2250000,2250000,0,0.0,Union,3,"4120 Goldmine road, Monroe,NC",4/20/2015,One NC ,Active,1825,1351,74,"$81,700,000 ","$34,786,273 ",1
355,146,0,PERDUE,"AptarGroup, Inc.",APTARGROUP,150,118,78.7,1184000,1006400,323714,32.2,Lincoln,2,"3300 Finger Mill Road, Lincolnton, NC 28092-6129",5/16/2011,JDIG,Active,3285,2421,73.7,"$47,933,415 ","$48,503,638 ",1
748,502,0,MCCRORY,"King Charles Industries, LLC",KING CHARLES INDUSTRIES,100,0,0,300000,300000,0,0.0,Anson,1,"Parcel #741403301513, Not in city limits, NC",10/24/2016,One NC ,Active,1095,798,72.9,"$11,000,000 ",$0 ,1
277,275,0,PERDUE,"Cree, Inc. II",CREE,244,521,213.5,2982000,2236500,1306500,58.4,Durham,3,"4600 Silicon Drive, , Durham, NC 27703-8475; 3028 E Cornwallis Rd, , Research Triangle Park, NC 27709-0007",9/20/2010,JDIG,Active,3650,2659,72.8,"$121,500,000 ","$208,424,991 ",1
368,157,0,PERDUE,"Charter Communications, LLC III (fka TWC Administration LLC III)",TIME WARNER CABLE,225,170,75.6,3975000,2981250,1441379,48.3,Mecklenburg,3,"7800 & 7815 & 7820 & 7910 Crescent Executive Drive, , Charlotte, NC 28217; 8730 Green Ridge Drive, Charlotte, NC 28217-3655; 13840 Ballantyne Corporate Place, Charlotte, NC 28277-2734; 9300 Arrowpoint Boulevard, Charlotte, NC 28273-8136",7/11/2011,JDIG,Active,3285,2365,72,"$90,900,000 ","$125,556,987 ",1
754,507,0,MCCRORY,"Lotus Bakeries US, LLC",LOTUS BAKERIES,60,0,0,180000,180000,0,0.0,Alamance,2,"NC Industrial Center, Mebane, NC",11/4/2016,One NC ,Active,1095,787,71.9,"$43,800,000 ",$0 ,1
755,509,0,MCCRORY,Norafin (Americas) Inc,NORAFIN AMERICAS,46,0,0,100000,100000,0,0.0,Henderson,3,"111 School House Road, Mills River, NC",11/7/2016,One NC ,Active,1095,784,71.6,"$14,900,000 ",$0 ,1
670,441,0,MCCRORY,"Proto Labs, Inc.",PROTO LABS,170,99,58.2,150000,150000,75000,50.0,Wake,3,"3700 Pleasant Grove Church Road, Cary,NC",6/17/2015,One NC ,Active,1825,1293,70.8,"$24,700,000 ","$33,081,764 ",1
757,510,0,MCCRORY,"Elkamet, Inc.",ELKAMET,25,0,0,35000,35000,0,0.0,Henderson,3,"201 Mills St., East Flat Rock, NC",11/18/2016,One NC ,Active,1095,773,70.6,"$5,800,000 ",$0 ,1
758,511,0,MCCRORY,"Snyder's-Lance, Inc.",SNYDERS-LANCE,100,44,44,100000,100000,0,0.0,Mecklenburg/Mecklenburg,"3,3","8600 South Boulevard, Charlotte, NC/13515 Ballantyne Corporate Place, NC",11/28/2016,One NC ,Active,1095,763,69.7,"$34,000,000 ","$38,000,000 ",1
470,281,1,PERDUE,"Sheetz Distribution Services, LLC",SHEETZ DISTRIBUTION SERVICES,254,255,100.4,800000,800000,737000,92.1,Alamance,2,"Whites Kennel Road, Alamance County, NC",9/5/2012,One NC ,Active,2190,2190,100,"$29,560,000 ","$29,890,213 ",1
517,306,0,MCCRORY,"Rack Room Shoes, Inc.",RACK ROOM SHOES,87,88,101.1,884000,663000,399123,60.2,Mecklenburg,3,"8310 Technology Drive, Charlotte, NC 28262-3387",3/1/2013,JDIG,Active,2555,1766,69.1,"$14,435,190 ","$20,566,094 ",1
681,451,0,MCCRORY,"TIMCO Aerosystems, LLC",HAECO CABIN SOLUTIONS,127,45,35.4,294000,294000,0,0.0,Guilford,2,"8010 Piedmont Triad Parkway, High Point, NC",8/6/2015,One NC ,Active,1825,1243,68.1,"$10,000,000 ","$16,739,315 ",1
765,517,0,MCCRORY,"The Social Beverage Company, LLC",SOCIAL BEVERAGE,34,0,0,68000,68000,0,0.0,Lenoir,1,"905 Atlantic Avenue, Kinston, NC",12/15/2016,One NC ,Active,1095,746,68.1,"$5,200,000 ",$0 ,1
764,516,0,MCCRORY,"Home Elevator & Lift Products, LLC",HOME ELEVATOR & LIFT PRODUCTS,22,0,0,50000,50000,0,0.0,Greene,1,"900 NC Hwy 258 South, Snow Hill, NC",12/15/2016,One NC ,Active,1095,746,68.1,"$503,000 ",$0 ,1
770,519,0,MCCRORY,Kaco USA Inc.,KACO USA,100,0,0,100000,100000,0,0.0,Lincoln,3,"1001 Lincoln County Pky, Lincolnton, NC",12/29/2016,One NC ,Active,1095,732,66.8,"$7,500,000 ",$0 ,1
257,73,1,PERDUE,Brunswick Corporation (Hatteras Yachts Division),BRUNSWICK,350,221,63.1,3610000,3068500,364643,11.9,Craven,2,"110 N. Glenburnie Road, New Bern, NC 28560-2703",7/20/2010,JDIG,"Terminated, Funds Disbursed",4380,4380,100,"$4,230,000 ","$4,671,767 ",0
471,240,0,PERDUE,"Leviton Manufacturing Co., Inc.",LEVITON MANUFACTURING CO,152,158,103.9,1101000,1101000,666034,60.5,Burke,1,"113 Industrial Blvd., Morganton, NC 28655-8285",9/10/2012,JDIG,Active,2920,1938,66.4,"$6,574,500 ","$8,935,398 ",1
652,426,0,MCCRORY,RAUMEDIC Inc.,RAUMEDIC,138,66,47.8,500000,500000,125000,25.0,Henderson,3,"Broadpointe Park Drive, Tract D4, Mills River,NC",2/23/2015,One NC ,Active,2190,1407,64.2,"$23,700,000 ","$17,504,403 ",1
260,79,1,PERDUE,Caterpillar Inc. (Camo),CATERPILLAR,392,305,77.8,600000,600000,600000,100.0,Forsyth,3,"Temple School Rd, Winston-Salem",7/30/2010,One NC ,"Closed, Funds Disbursed",1095,1095,100,"$362,100,000 ","$368,654,194 ",0
700,462,0,MCCRORY,"GKN Sinter Metals, LLC",GKN,55,5,9.1,109500,109500,0,0.0,Catawba,2,"407 Thornburg Drive, SE, Conover, NC",11/12/2015,One NC ,Active,1825,1145,62.7,"$17,800,000 ","$4,121,010 ",1
664,434,0,MCCRORY,CBC AMERICAS Corp.,CBC AMERICAS,96,0,0,63000,63000,0,0.0,Wake/Alamance,"3,2","TBD, Cary, NC/TBD, Alamance County, NC",4/21/2015,One NC ,Active,2190,1350,61.6,"$4,250,000 ",$0 ,1
426,296,0,PERDUE,RELX INC. fka Reed Elsevier Inc.,REED ELSEVIER,350,336,96,11814000,8860500,1065750,12.0,Wake,3,"1801 Varsity Drive, Raleigh, NC 27606-2072",2/15/2012,JDIG,Active,3650,2146,58.8,$0 ,$0 ,1
429,211,0,PERDUE,"XPO Logistics, Inc. I",XPO LOGISTICS,200,201,100.5,4293000,3219750,1470190,45.7,Mecklenburg,3,"13777 Ballantyne Corporate Place, Suite 400, Charlotte, NC 28277-4411",2/28/2012,JDIG,Active,3650,2133,58.4,$0 ,$0 ,1
716,478,0,MCCRORY,"RSI Home Products Manufacturing, Inc.",RSI HOME PRODUCTS MANUFACTURING,175,0,0,550000,550000,0,0.0,Richmond,1,"Richmond County Industrial Park, Rockingham, NC",2/29/2016,One NC ,Active,1825,1036,56.8,"$5,000,000 ",$0 ,1
510,298,1,MCCRORY,KSM Castings USA Inc.,KSM CASTINGS USA,189,128,67.7,705000,705000,622000,88.2,Cleveland,2,"641 Plato Lee Road, Shelby, NC",2/1/2013,One NC ,Active,1825,1825,100,"$40,561,660 ","$50,692,628 ",1
549,331,1,MCCRORY,"General Electric Company, through its Aviation operating division",GENERAL ELECTRIC,242,153,63.2,1250000,1250000,321000,25.7,Buncombe/Ashe/New Hanover/Durham,"3,2,3,3","401 Sweeten Creek Industrial Park, Asheville,NC/400 The Professional Way, West Jefferson, NC/3901 Castle Hayne Road, NC/3701 S. Miami Blvd., Durham, NC",7/9/2013,One NC ,Active,1460,1460,100,"$175,617,000 ","$196,766,277 ",1
335,130,0,PERDUE,"ESA Management, LLC",HVM,170,209,122.9,6299000,4724250,2525272,53.5,Mecklenburg,3,"11525 North Community House Rd, Suite 100, , Charlotte, NC 28277-3610",3/30/2011,JDIG,Active,4380,2468,56.3,$0 ,$0 ,1
493,285,0,PERDUE,"JELD-WEN, Inc. I",JELD WEN,142,186,131,3395000,2546250,1266318,49.7,Mecklenburg,3,"440 South Church Street, Suite 400, Charlotte, NC 28202-1904; 227 West Trade Street, Suite 550, Charlotte, NC 28202-3184; 2645 Silver Crescent Drive, Charlotte, NC 28273-3566; ",12/13/2012,JDIG,Active,3285,1844,56.1,$0 ,$0 ,1
721,481,0,MCCRORY,"Braeburn Pharmaceuticals, Inc.",BRAEBURN PHARMACEUTICALS,52,7,13.5,100000,100000,0,0.0,Durham,3,"627 Davis Drive, Morrisville, NC",3/15/2016,One NC ,Active,1825,1021,55.9,"$17,900,000 ","$28,149,923 ",1
508,299,0,MCCRORY,InVue Security Products Inc.,INVUE SECURITY,70,60,85.7,937000,702750,147676,21.0,Mecklenburg,3,"9201 Baybrook Lane, , Charlotte, NC 28277-3576",2/1/2013,JDIG,Active,3285,1794,54.6,$0 ,$0 ,1
725,483,0,MCCRORY,Demmel Inc.,DEMMEL,50,12,24,150000,150000,0,0.0,Henderson,3,"110 Commercial Drive, Henderson County, NC",4/20/2016,One NC ,Active,1825,985,54,"$3,800,000 ","$4,275,000 ",1
529,316,0,MCCRORY,Ipreo US LLC I,IPREO HOLDINGS,250,323,129.2,5044000,3783000,1503913,39.8,Wake,3,"421 Fayetteville Street, Suite 900, Raleigh, NC 27601-2999",4/11/2013,JDIG,Active,3285,1725,52.5,$0 ,$0 ,1
273,85,1,PERDUE,ABB Inc. I,ABB,130,156,120,2866000,2149500,705000,32.8,"Wake, Mecklenburg",3,"901 Main Campus Drive, Raleigh, NC 27606-5244; 12331 Commerce Station Drive, Huntersville, NC 28078-6823; 940 Main Campus Drive, Raleigh, NC 27606-5211; ",9/9/2010,JDIG,"Terminated, Funds Disbursed",3285,3285,100,"$81,000,000 ","$96,906,567 ",0
282,90,1,PERDUE,"TIMCO Aerosystems, LLC",TIMCO AEROSYSTEMS,275,175,63.6,200000,200000,200000,100.0,Davidson,2,"5568 Gumtree Rd., Winston-Salem, NC",9/28/2010,One NC ,"Closed, Funds Disbursed",1095,1095,100,$0 ,"$8,174,010 ",0
495,287,0,PERDUE,"Gildan Yarns, LLC I",GILDAN FORMALLY GOLDTOEMORETZ,170,170,100,1833000,1558050,592518,38.0,Rowan,2,"2121 Heilig Road, Salisbury, NC 28146-2316",12/19/2012,JDIG,Active,3650,1838,50.4,"$46,447,200 ","$64,818,305 ",1
733,488,0,MCCRORY,"TekTone Sound & Signal Mfg., Inc.",TEKTONE SOUND & SIGNAL MFG,35,0,0,90000,90000,0,0.0,Macon,1,"324 Industrial Park Road, Franklin, NC",6/29/2016,One NC ,Active,1825,915,50.1,"$2,600,000 ",$0 ,1
740,494,0,MCCRORY,Direct Pack Inc.,DIRECT PACK,94,0,0,300000,300000,0,0.0,Richmond,1,"612 Airport Road, Rockingham, NC",8/10/2016,One NC ,Active,1825,873,47.8,"$11,000,000 ",$0 ,1
718,480,0,MCCRORY,KSM Castings USA Inc. f/k/a KSM Castings NC Inc.,KSM CASTINGS USA,80,18,22.5,320000,320000,0,0.0,Cleveland,2,"120 Blue Brook Drive, Shelby, NC",3/9/2016,One NC ,Active,2190,1027,46.9,"$72,000,000 ","$23,227,000 ",1
630,407,1,MCCRORY,HCL America Inc. II,HCL TECHNOLOGIES,1237,689,55.7,123700,123700,69000,55.8,Wake,3,"200 Regency Woods Place, Cary,NC",9/18/2014,One NC ,Active,1460,1460,100,"$8,100,000 ","$3,348,743 ",1
719,479,0,MCCRORY,"Uniquetex, LLC",UNIQUETEX,150,0,0,800000,800000,0,0.0,Cleveland,2,"700 South Battleground Avenue, Grover, NC",3/9/2016,One NC ,Active,2190,1027,46.9,"$28,000,000 ",$0 ,1
446,223,0,PERDUE,"Citrix Systems, Inc. I",CITRIX,337,412,122.3,11540000,8655000,3016500,34.9,Wake,3,"120 S. West Street, Raleigh, NC 27603-1834",6/7/2012,JDIG,Active,4380,2033,46.4,"$11,250,000 ","$32,299,662 ",1
536,324,0,MCCRORY,Evalueserve Inc.,EVALUESERVE,400,41,10.3,3901000,2925750,0,0.0,Wake ,3,"421 Fayetteville Street, Suite 200, Raleigh, NC 27601-1792",6/3/2013,JDIG,Active,3650,1672,45.8,$0 ,$0 ,1
540,327,0,MCCRORY,"DB Global Technology, Inc. II",DB GLOBAL TECHNOLOGY,431,424,98.4,7413000,5559750,1928250,34.7,Wake,3,"3000 Centre Green Way, 3rd Floor, Cary, NC 27513-5775",6/20/2013,JDIG,Active,3650,1655,45.3,"$12,240,000 ","$13,678,502 ",1
749,503,0,MCCRORY,"Pepsi Bottling Ventures, LLC",PEPSICO,50,0,0,150000,150000,0,0.0,Robeson,1,"Walters Site St. Pauls, NC, St. Pauls, NC",10/26/2016,One NC ,Active,1825,796,43.6,"$14,800,000 ",$0 ,1
750,504,0,MCCRORY,Mafic USA LLC,MAFIC USA,113,0,0,225000,225000,0,0.0,Cleveland,2,"119 Metrolina Dr., Shelby (outside of city limits), NC",10/31/2016,One NC ,Active,1825,791,43.3,"$13,800,000 ",$0 ,1
761,513,0,MCCRORY,"Total Quality Logistics, LLC",TOTAL QUALITY LOGISTICS,70,110,157.1,70000,70000,17500,25.0,Guilford,3,"TBD, High Point, NC",12/8/2016,One NC ,Active,1825,753,41.3,"$277,000 ","$1,913,646 ",1
579,362,0,MCCRORY,"AIG PC Global Services, Inc.",AMERICAN INTERNATIONAL GROUP,230,290,126.1,6659000,4994250,1352561,27.1,Mecklenburg,3,"200 South College Street, Floor 13, Charlotte, NC 28202-2012",12/10/2013,JDIG,Active,3650,1482,40.6,"$4,952,391 ","$5,055,283 ",1
768,522,0,MCCRORY,Oerlikon Metco (US) Inc.,OERLIKON,93,51,54.8,1000000,1000000,0,0.0,Mecklenburg,3,"Vanstory Drive, Huntersville Business Park, Huntersville, NC",12/23/2016,One NC ,Active,1825,738,40.4,"$55,800,000 ","$36,800,000 ",1
554,337,0,MCCRORY,"Sturm, Ruger & Company, Inc.",STURM RUGER,450,294,65.3,9462000,9462000,1449961,15.3,Rockingham,1,"271 Cardwell Rd, Mayodan, NC 27027-8043",8/13/2013,JDIG,Active,4380,1601,36.6,"$24,075,000 ","$28,623,693 ",1
284,92,1,PERDUE,"Novo Nordisk Pharmaceutical Industries, Inc. II",NOVO NORDISK,85,115,135.3,400000,400000,353000,88.3,Buncombe,3,"3612 Powhatan Road, Clayton, NC",10/4/2010,One NC ,"Closed, Funds Disbursed",1095,1095,100,"$65,762,671 ","$104,551,058 ",0
566,350,0,MCCRORY,"Gildan Yarns, LLC II",GILDAN FORMALLY GOLDTOEMORETZ,500,604,120.8,4116000,3498600,583100,16.7,"Rowan, Davie, Bladen","2, 2, 1","2121 Heilig Road, Salisbury, NC 28146-2316; 376 Gildan Drive, Mocksville, NC 27028; 820 NC HIGHWAY 211 W, Clarkton, NC 28433-7536; ",10/8/2013,JDIG,Active,4380,1545,35.3,"$232,200,000 ","$279,241,799 ",1
567,351,0,MCCRORY,"RC Creations, LLC",RC CREATIONS,120,162,135,1300000,975000,219253,22.5,Pender,3,"360 Acme Way, Wilmington, NC 28401-2275",10/18/2013,JDIG,Active,4380,1535,35,"$22,500,000 ","$35,619,639 ",1
600,382,0,MCCRORY,"GKN Driveline Newton, LLC I",GKN,228,385,168.9,3535000,3004750,773864,25.8,Catawba,2,"1848 GKN Way, Newton, NC 28658-9072",4/8/2014,JDIG,Active,4380,1363,31.1,"$102,465,000 ",$0 ,1
605,386,0,MCCRORY,"RBUS, Inc. I",RED VENTURES,580,437,75.3,4325000,3243750,406586,12.5,Mecklenburg,3,"1000 Louis Rose Place, 2nd Floor, Charlotte, NC 28262-8546; 10101 Claude Freeman Drive, Charlotte, NC 28262-2674",4/28/2014,JDIG,Active,4380,1343,30.7,$0 ,$0 ,1
607,389,0,MCCRORY,"GKN Driveline North America, Inc. II (Alamance & Lee)",GKN,105,294,280,1340000,1139000,97750,8.6,"Lee, Alamance",2,"4901 Womack Rd, Sanford, NC 27330-9593; 1067 Trollingwood-Hawfields Road, Mebane, NC 27302-9740",5/13/2014,JDIG,Active,4380,1328,30.3,"$16,236,000 ",$0 ,1
611,394,0,MCCRORY,"Cisco Systems, Inc.",CISCO,550,549,99.8,17309000,12981750,2505750,19.3,Wake,3,"7100-7 Kit Creek Road , Research Triangle Park, NC 27709-4987",6/6/2014,JDIG,Active,4380,1304,29.8,$0 ,$0 ,1
613,396,0,MCCRORY,"Advance Stores Company, Incorporated I",ADVANCE AUTO PARTS,600,643,107.2,23210000,17407500,3605846,20.7,Wake,3,"2635 East Millbrook Rd. , Raleigh, NC 27604-2988",6/18/2014,JDIG,Active,4380,1292,29.5,$0 ,$0 ,1
283,92,1,PERDUE,"Novo Nordisk Pharmaceutical Industries, LP II",NOVO NORDISK,85,179,210.6,1120000,840000,491250,58.5,Johnston,3,"3612 Powhatan Road, Clayton, NC 27527-9217",10/4/2010,JDIG,Active,3650,2645,72.5,"$117,962,671 ","$150,714,160 ",1
297,100,1,PERDUE,SPX Corporation,SPX,180,84,46.7,350000,350000,155000,44.3,Mecklenburg,3,"13515 Ballantyne Corporate Place, Charlotte NC",11/15/2010,One NC ,"Closed, Funds Disbursed",1095,1095,100,"$63,000,000 ","$81,172,507 ",0
143,3,0,PERDUE,Sioux Tools Incorporated,SNAP-ON,40,0,0,120000,120000,0,0.0,Cherokee,2,"250 Snap-on Drive, Murphy, NC",2/19/2009,One NC ,"Closed, $0 Disbursed",1095,1095,100,"$1,760,000 ",$0 ,1
